sort,plot,subplot,watered,date,recruits,survivors,density,richness,shannon,simpson
472,7,14,dry,1,1,0,1,1,0,0
473,7,14,dry,3,0,0,0,0,,
474,7,14,dry,4,0,0,0,0,,
475,7,15,dry,1,0,0,0,0,,
476,7,15,dry,3,0,0,0,0,,
477,7,15,dry,4,0,0,0,0,,
478,7,16,dry,1,5,0,5,5,1.609437912,0.8
479,7,16,dry,3,0,3,3,3,1.098612289,0.666666667
480,7,16,dry,4,2,2,4,3,1.039720771,0.625
481,7,17,dry,1,8,0,8,4,1.214889654,0.666666667
482,7,17,dry,3,0,5,5,4,1.329661349,0.722222222
483,7,17,dry,4,2,5,7,5,1.559581156,0.78125
484,7,18,dry,1,4,0,4,4,1.386294361,0.75
485,7,18,dry,3,0,4,4,4,1.386294361,0.75
486,7,18,dry,4,0,4,4,4,1.386294361,0.75
487,7,19,dry,1,4,0,4,3,1.039720771,0.625
488,7,19,dry,3,1,4,5,4,1.33217904,0.72
489,7,19,dry,4,4,5,9,5,1.58109375,0.790123457
490,7,20,dry,1,12,0,12,5,1.357977855,0.680555556
491,7,20,dry,3,0,12,12,5,1.357977855,0.680555556
492,7,20,dry,4,3,9,12,6,1.676234939,0.791666667
493,7,21,dry,1,3,0,3,3,1.098612289,0.666666667
494,7,21,dry,3,0,1,1,1,0,0
495,7,21,dry,4,1,1,2,2,0.693147181,0.5
496,7,22,dry,1,3,0,3,6,1.791759469,0.833333333
497,7,22,dry,3,2,1,3,5,1.560710409,0.777777778
498,7,22,dry,4,1,3,4,6,1.747868097,0.816326531
499,7,23,dry,1,3,0,3,3,1.098612289,0.666666667
500,7,23,dry,3,1,2,3,3,1.098612289,0.666666667
501,7,23,dry,4,0,0,0,0,,
502,7,24,dry,1,1,0,1,1,0,0
503,7,24,dry,3,0,1,1,1,0,0
504,7,24,dry,4,1,0,1,1,0,0
505,8,1,wet,1,13,0,13,9,2.031759219,0.840236686
506,8,1,wet,3,2,11,13,9,2.031759219,0.840236686
507,8,1,wet,4,3,10,13,10,2.138397246,0.852071006
508,8,2,wet,1,5,0,5,3,0.950270539,0.56
509,8,2,wet,3,1,4,5,4,1.33217904,0.72
510,8,2,wet,4,4,4,8,4,1.320888343,0.71875
511,8,3,wet,1,0,0,0,0,,
512,8,3,wet,3,0,0,0,0,,
513,8,3,wet,4,1,0,1,1,0,0
514,8,4,wet,1,4,0,4,2,0.562335145,0.375
515,8,4,wet,3,1,3,4,3,1.039720771,0.625
516,8,4,wet,4,0,0,0,0,,
517,8,5,wet,1,5,0,5,5,1.609437912,0.8
518,8,5,wet,3,0,5,5,4,1.386294361,0.75
519,8,5,wet,4,1,5,6,6,1.791759469,0.833333333
520,8,6,wet,1,3,0,3,4,1.386294361,0.75
521,8,6,wet,3,1,2,3,4,1.386294361,0.75
522,8,6,wet,4,3,2,5,3,0.950270539,0.56
523,8,7,wet,1,4,0,4,3,1.039720771,0.625
524,8,7,wet,3,1,3,4,4,1.386294361,0.75
525,8,7,wet,4,3,3,6,5,1.560710409,0.777777778
526,8,8,wet,1,3,0,3,3,1.098612289,0.666666667
527,8,8,wet,3,0,2,2,2,0.693147181,0.5
528,8,8,wet,4,1,0,1,1,0,0
529,8,9,wet,1,12,0,12,4,0.983087759,0.513888889
530,8,9,wet,3,4,11,15,5,1.32175584,0.657777778
531,8,9,wet,4,2,14,16,7,1.559581156,0.703125
532,8,10,wet,1,2,0,2,3,1.039720771,0.625
533,8,10,wet,3,0,1,1,1,0,0
534,8,10,wet,4,0,0,0,2,0.693147181,0.5
535,8,11,wet,1,2,0,2,1,0,0
536,8,11,wet,3,0,1,1,2,0.693147181,0.5
537,8,11,wet,4,3,0,3,3,1.039720771,0.625
538,8,12,wet,1,2,0,2,2,0.693147181,0.5
539,8,12,wet,3,0,2,2,2,0.693147181,0.5
540,8,12,wet,4,0,2,2,2,0.693147181,0.5
541,8,13,wet,1,5,0,5,4,1.33217904,0.72
542,8,13,wet,3,1,3,4,4,1.386294361,0.75
543,8,13,wet,4,1,3,4,4,1.386294361,0.75
544,8,14,wet,1,5,0,5,4,1.242453325,0.666666667
545,8,14,wet,3,1,4,5,4,1.242453325,0.666666667
546,8,14,wet,4,0,4,4,4,1.33217904,0.72
547,8,15,wet,1,3,0,3,2,0.636514168,0.444444444
548,8,15,wet,3,1,1,2,2,0.693147181,0.5
549,8,15,wet,4,0,3,3,2,0.636514168,0.444444444
550,8,16,wet,1,10,0,10,7,1.846220219,0.826446281
551,8,16,wet,3,2,8,10,9,2.145841753,0.876033058
552,8,16,wet,4,2,7,9,9,2.163955657,0.88
553,8,17,wet,1,3,0,3,3,1.098612289,0.666666667
554,8,17,wet,3,0,3,3,3,1.098612289,0.666666667
555,8,17,wet,4,1,3,4,4,1.386294361,0.75
556,8,18,wet,1,5,0,5,5,1.609437912,0.8
557,8,18,wet,3,1,4,5,4,1.33217904,0.72
558,8,18,wet,4,1,5,6,4,1.329661349,0.722222222
559,8,19,wet,1,0,0,0,1,0,0
560,8,19,wet,3,0,0,0,1,0,0
561,8,19,wet,4,0,0,0,1,0,0
562,8,20,wet,1,6,0,6,5,1.475076311,0.734693878
563,8,20,wet,3,2,6,8,6,1.676987774,0.790123457
564,8,20,wet,4,2,8,10,7,1.846220219,0.826446281
565,8,21,wet,1,9,0,9,8,1.972246979,0.842975207
566,8,21,wet,3,3,7,10,8,1.979204517,0.847222222
567,8,21,wet,4,2,5,7,6,1.667461933,0.78125
568,8,22,wet,1,6,0,6,5,1.560710409,0.777777778
569,8,22,wet,3,2,5,7,7,1.945910149,0.857142857
570,8,22,wet,4,1,6,7,7,1.945910149,0.857142857
571,8,23,wet,1,1,0,1,2,0.693147181,0.5
572,8,23,wet,3,1,1,2,3,1.098612289,0.666666667
573,8,23,wet,4,0,1,1,2,0.693147181,0.5
574,8,24,wet,1,9,0,9,6,1.583258459,0.75
575,8,24,wet,3,3,6,9,5,1.414279065,0.710743802
576,8,24,wet,4,2,7,9,6,1.641734712,0.776859504
